#separator:tab
#html:false
#columns:Front	Back	Tags
ab-	Separates in a main sentence; moves to the end. abfahren → Ich fahre ab.	lesson2::trennbar
an-	Separates in a main sentence; moves to the end. anfangen → Ich fange an.	lesson2::trennbar
auf-	Separates in a main sentence; moves to the end. aufräumen → Ich räume auf.	lesson2::trennbar
aus-	Separates in a main sentence; moves to the end. ausgehen → Ich gehe aus.	lesson2::trennbar
bei-	Separates in a main sentence; moves to the end. beistehen → Ich stehe bei.	lesson2::trennbar
ein-	Separates in a main sentence; moves to the end. einkaufen → Ich kaufe ein.	lesson2::trennbar
mit-	Separates in a main sentence; moves to the end. mitkommen → Ich komme mit.	lesson2::trennbar
nach-	Separates in a main sentence; moves to the end. nachfragen → Ich frage nach.	lesson2::trennbar
vor-	Separates in a main sentence; moves to the end. vorstellen → Ich stelle vor.	lesson2::trennbar
weg-	Separates in a main sentence; moves to the end. weggehen → Ich gehe weg.	lesson2::trennbar
be-	Never separates. besuchen → Ich besuche dich.	lesson2::untrennbar
emp-	Never separates. empfehlen → Ich empfehle das.	lesson2::untrennbar
ent-	Never separates. entscheiden → Ich entscheide.	lesson2::untrennbar
er-	Never separates. erkennen → Ich erkenne das.	lesson2::untrennbar
ge-	Never separates. gehören → Das gehört mir.	lesson2::untrennbar
miss-	Never separates. missverstehen → Ich missverstehe dich.	lesson2::untrennbar
ver-	Never separates. verstehen → Ich verstehe dich.	lesson2::untrennbar
zer-	Never separates. zerstören → Ich zerstöre das.	lesson2::untrennbar
-e	die — die Lampe, die Sprache. Common but not absolute: der Name, der Junge, das Auge.	lesson2::genus
-ion	die — die Nation, die Situation, die Region.	lesson2::genus
-age	die — die Garage, die Passage, die Reportage.	lesson2::genus
-schaft	die — die Wirtschaft, die Gesellschaft, die Freundschaft.	lesson2::genus
-heit	die — die Freiheit, die Gesundheit, die Sicherheit.	lesson2::genus
-keit	die — die Möglichkeit, die Schwierigkeit, die Einigkeit.	lesson2::genus
-ung	die — die Zeitung, die Wohnung, die Rechnung.	lesson2::genus
-er	der — der Drucker, der Computer, der Lehrer. Especially tools/machines and doer-nouns.	lesson2::genus
-o	das — das Radio, das Kino, das Auto.	lesson2::genus
her-	Separable; toward the speaker. herkommen → Komm her, ich muss dir etwas zeigen!	lesson2::trennbar
hin-	Separable; away from the speaker, or down. hingehen → Ahmad bringt den Kuchen morgen hin.	lesson2::trennbar
hinein-	Separable; from outside to inside. hineingehen → Möchtest du hineingehen oder lieber draußen sitzen?	lesson2::trennbar
los-	Separable; off, starting. losgehen → Wir werden um 20 Uhr losgehen.	lesson2::trennbar
zu-	Separable; closing, or toward a goal. zumachen → Machst du bitte das Fenster zu?	lesson2::trennbar
zurück-	Separable; back. zurückgeben → Kannst du mir bitte meinen Stift zurückgeben?	lesson2::trennbar
Partizip II of a separable verb	ge- goes between prefix and stem: aufräumen → aufgeräumt, abholen → abgeholt.	lesson2::perfekt
Partizip II of an inseparable verb	No ge- at all: verstehen → verstanden, besuchen → besucht (vergestanden is wrong).	lesson2::perfekt
Separable verb after a modal verb	Stays whole at the end: Ich muss morgen früh aufstehen. Kannst du heute einkaufen?	lesson2::trennbar
Indefinite article, plural	No indefinite article in the plural: nothing (Nullartikel) or die. Da sind Kinder. Die Kinder spielen.	lesson2::artikel
Introducing then referring back	ein/eine first, der/die/das after: Da vorne ist eine Bäckerei. Die Bäckerei hat gute Brötchen.	lesson2::artikel
Masculine object	ein → einen when a masculine noun is the object: Er trinkt einen Saft. Ich brauche einen Stift.	lesson2::artikel
