#separator:tab
#html:false
#columns:Front	Back	Tags
ab	from	lesson5::praepositionen lesson5::essentials
außer	except for / besides	lesson5::praepositionen lesson5::essentials
zu	to	lesson5::praepositionen lesson5::essentials
aus	from / out of	lesson5::praepositionen lesson5::essentials
seit	since	lesson5::praepositionen lesson5::essentials
gegenüber	opposite / across from	lesson5::praepositionen lesson5::essentials
an	on / at / by	lesson5::praepositionen lesson5::essentials
neben	next to / beside	lesson5::praepositionen lesson5::essentials
bis	until	lesson5::praepositionen lesson5::essentials
ohne	without	lesson5::praepositionen lesson5::essentials
um	around / at	lesson5::praepositionen lesson5::essentials
